israeli	spokeswoman
military	spokeswoman
local	official
full	area
open	wheel
thuggish	insurgent
little	business
direct	business
official	business
bilateral	business
sporting	tie
humanitarian	assistance
syrian	decision
petty	confidence
common	trickster
palestinian	look
israeli	strike
israeli	official
co	body
-	body
ordinating	body
palestinian	territory
serbian	refugee
palestinian	refugee
legal	protection
palestinian	source
nearby	Bedawi
fresh	food
israeli	arab
arab	war
small	town
narrow	street
grave	crisis
humanitarian	crisis
safe	return
displace	person
most	treatment
inhumane	treatment
new	survey
more	refugee
last	year
vast	nation
central	nation
african	nation
Zimbabwean	refugee
military	statement
first	clash
mainly	city
nearby	camp
iraqi	refugee
young	rabbi
same	revolution
palestinian	camp
more	rocket
suspect	hideout
besiege	settlement
present	at
undocumented	refugee
different	country
stand	dispute
final	border
dispute	Â
palestinian	refugee
torment	effort
romanian	national
lebanese	force
palestinian	camp
northern	Lebanon
iraqi	refugee
neighbouring	Jordan
newborn	child
american	official
large	return
sectarian	violence
other	sect
muslim	sect
brutal	conflict
sectarian	conflict
lebanese	soldier
renewed	fighting
islamic	militant
palestinian	camp
northern	Lebanon
palestinian	state
native	country
shi'ite	camp
recent	report
iraqi	crisis
many	country
iraqi	refugee
neighboring	Darfur
french	official
burmese	refugee
other	location
increase	problem
illegal	immigrant
mexican	border
sudanese	refugee
local	group
Bared	camp
sizable	population
permanent	home
iraqi	refugee
palestinian	camp
inflated	confidence
beloved	force
entrenched	fortification
underground	refugee
humiliating	setback
sudanese	refugee
negative	thought
political	refugee
informal	employment
second	explosion
many	day
mainly	district
muslim	district
suspect	militant
lebanese	troop
palestinian	camp
mass	grave
northern	city
afghan	minister
foreign	minister
last	refugee
same	term
west	african
african	bloc
regional	bloc
nearby	camp
past	month
palestinian	woman
lebanese	troop
islamic	militant
palestinian	camp
senior	official
military	official
possible	deal
inspire	fighter
northeast	corner
arab	regime
such	as
core	issue
future	state
palestinian	state
palestinian	refugee
global	freedom
equal	right
palestinian	camp
more	rocket
suspect	hideout
besiege	settlement
lebanese	troop
senior	official
first	planeload
bhutanese	refugee
late	January
islamist	militant
lebanese	troop
second	camp
palestinian	camp
long	term
several	refugee
lebanese	troop
inspire	militant
besiege	camp
palestinian	camp
northern	Lebanon
political	status
somali	refugee
kenyan	border
new	league
young	people
few	minute
recognise	border
palestinian	refugee
strong	resistance
relentless	bombardment
other	camp
palestinian	woman
palestinian	refugee
benevolent	host
afghan	refugee
stand	agreement
minor	party
humanitarian	refugee
past	year
african	country
principal	obligation
Syrian	President
violent	policy
iraqi	refugee
iraqi	refugee
bona	fide
fide	seeker
unkempt	cemetery
young	soldier
islamist	militant
palestinian	camp
iraqi	refugee
iraqi	refugee
syrian	government
hard	work
heavy	fighting
second	day
straight	day
lebanese	army
suspect	hideout
inspire	militant
palestinian	camp
other	agency
local	agency
sure	refugee
economic	migrant
subject	migrant
international	law
primary	objective
vulnerable	refugee
urban	area
iraqi	refugee
more	million
norwegian	council
internal	centre
civilian	area
military	point
